Index,Date,Time,Longitude,Latitude,Magnitude,Depth,Location
197,2021-05-18,21:39:36,99.93,25.65,4.2,8,"Yangbi,Yunnan"
198,2021-05-19,3:27:56,99.92,25.65,3.1,8,"Yangbi,Yunnan"
199,2021-05-19,4:38:36,98.91,32.95,3.3,8,"Shiqu,Sichuan"
200,2021-05-19,9:32:00,81.87,43.13,3.4,10,"Tekesi,Xinjiang"
201,2021-05-19,20:05:57,99.92,25.66,4.4,8,"Yangbi,Yunnan"
202,2021-05-19,21:13:08,99.89,25.68,3.2,8,"Yangbi,Yunnan"
203,2021-05-20,1:58:59,99.9,25.67,3.2,11,"Yangbi,Yunnan"
204,2021-05-20,14:29:06,104.78,28.43,3.1,9,"Gongxian,Sichuan"
205,2021-05-20,22:21:17,81.43,43.44,3,22,"Chabuchaer,Xinjiang"
206,2021-05-21,13:32:30,77.89,35.85,3.1,110,"Pishan,Xinjiang"
207,2021-05-21,20:56:03,99.93,25.63,4.2,8,"Yangbi,Yunnan"
208,2021-05-21,21:21:25,99.92,25.63,5.6,10,"Yangbi,Yunnan"
209,2021-05-21,21:23:44,99.97,25.66,4.5,8,"Yangbi,Yunnan"
210,2021-05-21,21:48:35,99.87,25.67,6.4,8,"Yangbi,Yunnan"
211,2021-05-21,21:53:48,99.98,25.62,4.1,9,"Yangbi,Yunnan"
212,2021-05-21,21:55:29,99.89,25.67,5,8,"Yangbi,Yunnan"
213,2021-05-21,21:56:38,99.95,25.64,4.9,8,"Yangbi,Yunnan"
214,2021-05-21,22:02:01,99.89,25.66,4.1,8,"Yangbi,Yunnan"
215,2021-05-21,22:03:36,99.93,25.57,3.9,8,"Yangbi,Yunnan"
216,2021-05-21,22:15:16,99.96,25.59,4,8,"Yangbi,Yunnan"
217,2021-05-21,22:19:48,99.95,25.6,3,8,"Yangbi,Yunnan"
218,2021-05-21,22:30:27,99.9,25.65,3.1,8,"Yangbi,Yunnan"
219,2021-05-21,22:31:11,99.97,25.59,5.2,8,"Yangbi,Yunnan"
220,2021-05-21,22:59:37,99.94,25.63,3.5,8,"Yangbi,Yunnan"
221,2021-05-21,23:08:58,99.98,25.61,3,8,"Yangbi,Yunnan"
222,2021-05-21,23:13:54,99.94,25.64,3.8,8,"Yangbi,Yunnan"
